Filename	Subject	Verb
fr001_bg.txt	Le club des baby-sitters: l’idée	moi
fr001_bg.txt	j'	fière
fr001_bg.txt	nous	avons
fr001_bg.txt	Il	faisait
fr001_bg.txt	Il	faisait
fr001_bg.txt	les professeurs	ouvert
fr001_bg.txt	Des mouches	volaient
fr001_bg.txt	nous	permit
fr001_bg.txt	cet après-midi étouffant n’	finissait
fr001_bg.txt	la cloche	mit
fr001_bg.txt	je	bondis
fr001_bg.txt	J'	étais
fr001_bg.txt	Monsieur Redmont	eut
fr001_bg.txt	Il	devait
fr001_bg.txt	il	bon
fr001_bg.txt	je	pensais
fr001_bg.txt	Je	n’
fr001_bg.txt	ce qui était fait	fait
fr001_bg.txt	Je	ça
fr001_bg.txt	J’	envie
fr001_bg.txt	je	fais
fr001_bg.txt	Maman	dit
fr001_bg.txt	je	impulsive
fr001_bg.txt	elle	dit
fr001_bg.txt	elle	dit
fr001_bg.txt	elle	pense
fr001_bg.txt	Je	m’
fr001_bg.txt	Ce genre de choses	tient
fr001_bg.txt	“Les enfants	dit
fr001_bg.txt	-il	dit
fr001_bg.txt	je	donné
fr001_bg.txt	Vous	pouvez
fr001_bg.txt	Valérie	te
fr001_bg.txt	j’aimerais	te
fr001_bg.txt	les autres enfants	rassemblaient
fr001_bg.txt	je	dirigeai
fr001_bg.txt	il	pu
fr001_bg.txt	je	commençai
fr001_bg.txt	Ça	aide
fr001_bg.txt	Je	voulais
fr001_bg.txt	Je	voulais
fr001_bg.txt	j’	contente
fr001_bg.txt	Je	voulais
fr001_bg.txt	j’	contente
fr001_bg.txt	une idée plutôt claire de ce que cela signifiait	avais
fr001_bg.txt	la cloche	sonnait
fr001_bg.txt	monsieur Redmont	dit
fr001_bg.txt	“	dit
fr001_bg.txt	je	veux
fr001_bg.txt	Il	faudrait
fr001_bg.txt	je	trouve
fr001_bg.txt	Je	retournai
fr001_bg.txt	monsieur Redmont	remarquerait
fr001_bg.txt	Mélanie Moreau m’	attendait
fr001_bg.txt	Mélanie	amie
fr001_bg.txt	Nous	habitons
fr001_bg.txt	nous	ressemblons
fr001_bg.txt	nous	petites
fr001_bg.txt	nous	avons
fr001_bg.txt	qui	tombent
fr001_bg.txt	je	sais
fr001_bg.txt	elle	calme
fr001_bg.txt	ce n’	apparence
fr001_bg.txt	la saluai	d’
fr001_bg.txt	Ce n’	possible
fr001_bg.txt	J'	aurai
fr001_bg.txt	mon père	autorise
fr001_bg.txt	Le père de Mélanie	famille
fr001_bg.txt	son père	sévère
fr001_bg.txt	Ma mère	dit
fr001_bg.txt	qui	reste
fr001_bg.txt	C'	miracle
fr001_bg.txt	Mélanie	eu
fr001_bg.txt	je	mise
fr001_bg.txt	J'	avais
fr001_bg.txt	je	venais
fr001_bg.txt	-elle	dit
fr001_bg.txt	mon épaule	criai
fr001_bg.txt	Il	fait
fr001_bg.txt	Je	peux
fr001_bg.txt	je	garde
fr001_bg.txt	Je	dois
fr001_bg.txt	il	arrive
fr001_bg.txt	il	doit
fr001_bg.txt	Il	a
fr001_bg.txt	Nicolas et Stéphane mes grands frères	responsables
fr001_bg.txt	et moi	responsables
fr001_bg.txt	Ce qui
n’	cas
fr001_bg.txt	On	couru
fr001_bg.txt	Sébastien	désemparé
fr001_bg.txt	ses boucles brunes	tombant
fr001_bg.txt	Il	fondit
fr001_bg.txt	-ce	a
fr001_bg.txt	Je	m’
fr001_bg.txt	Je	porte
fr001_bg.txt	Il	éclata
fr001_bg.txt	Je	n’
fr001_bg.txt	Sébastien	état
fr001_bg.txt	nous	entrés
fr001_bg.txt	notre chien	rua
fr001_bg.txt	je	sers
fr001_bg.txt	Je	sais
fr001_bg.txt	qui	dit
fr001_bg.txt	nous	faisons
fr001_bg.txt	-	faisons
fr001_bg.txt	Ça	revenait
fr001_bg.txt	Mme Bourguignon m’	demandé
fr001_bg.txt	elle	t’
fr001_bg.txt	elle	appelé
fr001_bg.txt	Elle Mélanie et moi	habitons
fr001_bg.txt	Nous	grandi
fr001_bg.txt	Julie	passé
fr001_bg.txt	Julie	passe
fr001_bg.txt	C'	passion
fr001_bg.txt	Elle	mûre
fr001_bg.txt	nous	étions
fr001_bg.txt	nous	jouions
fr001_bg.txt	on	déguisait
fr001_bg.txt	Julie	joigne
fr001_bg.txt	on	fichait
fr001_bg.txt	 Julie	partante
fr001_bg.txt	c'	monsieur
