Filename	Subject	Verb
001c_kristys_great_idea.txt	I	’m
001c_kristys_great_idea.txt	it	was
001c_kristys_great_idea.txt	Us	is
001c_kristys_great_idea.txt	I	got
001c_kristys_great_idea.txt	It	was
001c_kristys_great_idea.txt	It	was
001c_kristys_great_idea.txt	the teachers	opened
001c_kristys_great_idea.txt	My hair	stuck
001c_kristys_great_idea.txt	I	wished
001c_kristys_great_idea.txt	I	had
001c_kristys_great_idea.txt	I	pull
001c_kristys_great_idea.txt	Bees	flew
001c_kristys_great_idea.txt	us	stop
001c_kristys_great_idea.txt	The fans	do
001c_kristys_great_idea.txt	it	was
001c_kristys_great_idea.txt	the hands	hit
001c_kristys_great_idea.txt	I	leaped
001c_kristys_great_idea.txt	I	was
001c_kristys_great_idea.txt	it	was
001c_kristys_great_idea.txt	I	like
001c_kristys_great_idea.txt	Mr. Redmont	looked
001c_kristys_great_idea.txt	He	thinking
001c_kristys_great_idea.txt	he	been
001c_kristys_great_idea.txt	us	make
001c_kristys_great_idea.txt	I	was
001c_kristys_great_idea.txt	the day	was
001c_kristys_great_idea.txt	I	felt
001c_kristys_great_idea.txt	I	help
001c_kristys_great_idea.txt	I	done
001c_kristys_great_idea.txt	I	’m
001c_kristys_great_idea.txt	I	think
001c_kristys_great_idea.txt	I	say
001c_kristys_great_idea.txt	I	think
001c_kristys_great_idea.txt	I	do
001c_kristys_great_idea.txt	Mom	calls
001c_kristys_great_idea.txt	she	calls
001c_kristys_great_idea.txt	she	mean
001c_kristys_great_idea.txt	She	means
001c_kristys_great_idea.txt	I	was
001c_kristys_great_idea.txt	I	sense
001c_kristys_great_idea.txt	I	been
001c_kristys_great_idea.txt	it	coming
001c_kristys_great_idea.txt	Mr. Redmont	cleared
001c_kristys_great_idea.txt	He	trying
001c_kristys_great_idea.txt	Things	are
001c_kristys_great_idea.txt	Mr. Redmont	began
001c_kristys_great_idea.txt	he	changed
001c_kristys_great_idea.txt	he	said
001c_kristys_great_idea.txt	you	have
001c_kristys_great_idea.txt	You	go
001c_kristys_great_idea.txt	I	like
001c_kristys_great_idea.txt	the rest	gathered
001c_kristys_great_idea.txt	I	made
001c_kristys_great_idea.txt	he	say
001c_kristys_great_idea.txt	I	began
001c_kristys_great_idea.txt	I	said
001c_kristys_great_idea.txt	I	’m
001c_kristys_great_idea.txt	I	mean
001c_kristys_great_idea.txt	I	mean
001c_kristys_great_idea.txt	I	mean
001c_kristys_great_idea.txt	I	was
001c_kristys_great_idea.txt	glad school	was
